library,sample,location,date
ERR3562921,ERR3562921,Valby,2016-08-10
ERR3562922,ERR3562922,Amager,2016-08-16
ERR3562923,ERR3562923,Amager,2016-08-18
ERR3562924,ERR3562924,Valby,2016-08-18
ERR3562925,ERR3562925,Amager,2016-08-22
ERR3562926,ERR3562926,Avedoere,2016-08-16
ERR3562927,ERR3562927,Valby,2016-08-16
ERR3562928,ERR3562928,Valby,2016-08-22
ERR3562929,ERR3562929,Amager,2016-08-29
ERR3562930,ERR3562930,Amager,2016-08-29
ERR3562931,ERR3562931,Valby,2016-08-29
ERR3562932,ERR3562932,Valby,2016-09-07
ERR3562933,ERR3562933,Amager,2016-09-07
ERR3562934,ERR3562934,Avedoere,2016-09-07
ERR3562935,ERR3562935,Avedoere,2016-09-07
ERR3562936,ERR3562936,Valby,2016-09-13
ERR3562937,ERR3562937,Amager,2016-09-13
ERR3562938,ERR3562938,Amager,2016-09-18
ERR3562939,ERR3562939,Valby,2016-09-18
ERR3562940,ERR3562940,Amager,2016-09-21
ERR3562941,ERR3562941,Avedoere,2016-09-21
ERR3562942,ERR3562942,Valby,2016-09-21
ERR3562943,ERR3562943,Amager,2016-09-24
ERR3562944,ERR3562944,Valby,2016-09-29
ERR3562945,ERR3562945,Valby,2016-10-02
ERR3562946,ERR3562946,Amager,2016-10-06
ERR3562947,ERR3562947,Avedoere,2016-10-06
ERR3562948,ERR3562948,Valby,2016-10-06
ERR3562949,ERR3562949,Amager,2016-10-09
ERR3562950,ERR3562950,Valby,2016-10-09
ERR3562951,ERR3562951,Amager,2016-10-12
ERR3562952,ERR3562952,Valby,2016-10-12
ERR3562953,ERR3562953,Avedoere,2016-10-15
ERR3562954,ERR3562954,Valby,2016-10-15
ERR3562955,ERR3562955,Amager,2016-10-23
ERR3562956,ERR3562956,Valby,2016-11-02
ERR3562957,ERR3562957,Valby,2016-11-05
ERR3562958,ERR3562958,Avedoere,2016-11-05
ERR3562959,ERR3562959,Amager,2016-11-13
ERR3562960,ERR3562960,Valby,2016-11-13
ERR3562961,ERR3562961,Amager,2016-11-17
ERR3562962,ERR3562962,Avedoere,2016-11-17
ERR3562963,ERR3562963,Valby,2016-11-17
ERR3562964,ERR3562964,Amager,2016-11-02
ERR3562965,ERR3562965,Amager,2016-11-09
ERR3562966,ERR3562966,Valby,2016-11-09
ERR3562967,ERR3562967,Valby,2016-11-26
ERR3562968,ERR3562968,Amager,2016-11-26
ERR3562969,ERR3562969,Amager,2016-12-04
ERR3562970,ERR3562970,Valby,2016-12-07
ERR3562971,ERR3562971,Amager,2016-12-07
ERR3562972,ERR3562972,Amager,2016-12-09
ERR3562973,ERR3562973,Avedoere,2016-12-12
ERR3562974,ERR3562974,Valby,2016-12-12
ERR3562975,ERR3562975,Amager,2016-12-12
ERR3562976,ERR3562976,Amager,2016-12-12
ERR3562977,ERR3562977,Valby,2016-12-18
ERR3562978,ERR3562978,Avedoere,2016-12-18
ERR3562979,ERR3562979,Valby,2016-12-19
ERR3562980,ERR3562980,Amager,2016-12-19
ERR3562981,ERR3562981,Valby,2016-12-22
ERR3562982,ERR3562982,Amager,2016-12-22
ERR3562983,ERR3562983,Valby,2017-01-01
ERR3562984,ERR3562984,Amager,2017-01-01
ERR3562985,ERR3562985,Amager,2017-01-04
ERR3562986,ERR3562986,Valby,2017-01-08
ERR3562987,ERR3562987,Amager,2017-01-08
ERR3562988,ERR3562988,Valby,2017-01-12
ERR3562989,ERR3562989,Amager,2017-01-12
ERR3562990,ERR3562990,Valby,2017-01-16
ERR3562991,ERR3562991,Avedoere,2017-01-04
ERR3562992,ERR3562992,Avedoere,2017-01-18
ERR3562993,ERR3562993,Valby,2017-01-24
ERR3562994,ERR3562994,Amager,2017-01-24
ERR3562995,ERR3562995,Valby,2017-01-27
ERR3562996,ERR3562996,Amager,2017-01-27
ERR3562997,ERR3562997,Valby,2017-02-02
ERR3562998,ERR3562998,Valby,2017-02-07
ERR3562999,ERR3562999,Amager,2017-02-07
ERR3563000,ERR3563000,Valby,2017-02-11
ERR3563001,ERR3563001,Amager,2017-02-02
ERR3563002,ERR3563002,Avedoere,2017-02-02
ERR3563003,ERR3563003,Amager,2017-02-11
ERR3563004,ERR3563004,Valby,2017-02-13
ERR3563005,ERR3563005,Amager,2017-02-13
ERR3563006,ERR3563006,Avedoere,2017-02-13
ERR3563007,ERR3563007,Valby,2017-02-17
ERR3563008,ERR3563008,Valby,2017-02-22
ERR3563009,ERR3563009,Valby,2017-02-28
ERR3563010,ERR3563010,Valby,2017-03-02
ERR3563011,ERR3563011,Valby,2017-03-05
ERR3563012,ERR3563012,Avedoere,2017-03-05
ERR3563013,ERR3563013,Amager,2017-02-17
ERR3563014,ERR3563014,Amager,2017-02-22
ERR3563015,ERR3563015,Amager,2017-02-22
ERR3563016,ERR3563016,Amager,2017-03-02
ERR3563017,ERR3563017,Amager,2017-03-05
ERR3563018,ERR3563018,Valby,2017-03-10
ERR3563019,ERR3563019,Valby,2017-03-16
ERR3563020,ERR3563020,Avedoere,2017-03-16
ERR3563021,ERR3563021,Avedoere,2017-03-16
ERR3563022,ERR3563022,Valby,2017-03-21
ERR3563023,ERR3563023,Valby,2017-03-21
ERR3563024,ERR3563024,Amager,2017-03-27
ERR3563025,ERR3563025,Amager,2017-03-27
ERR3563026,ERR3563026,Amager,2017-03-10
ERR3563027,ERR3563027,Valby,2017-05-13
ERR3563028,ERR3563028,Amager,2017-05-22
ERR3563029,ERR3563029,Valby,2017-04-11
ERR3563030,ERR3563030,Amager,2017-04-11
ERR3563031,ERR3563031,Avedoere,2017-04-18
ERR3563032,ERR3563032,Avedoere,2017-04-24
ERR3563033,ERR3563033,Valby,2017-06-05
ERR3563034,ERR3563034,Avedoere,2017-03-06
ERR3563035,ERR3563035,Amager,2017-05-15
ERR3563036,ERR3563036,Valby,2017-04-05
ERR3563037,ERR3563037,Avedoere,2017-04-11
ERR3563038,ERR3563038,Amager,2017-04-20
ERR3563039,ERR3563039,Valby,2017-04-24
ERR3563040,ERR3563040,Valby,2017-04-07
ERR3563041,ERR3563041,Valby,2017-04-20
ERR3563042,ERR3563042,Valby,2017-05-04
ERR3563043,ERR3563043,Valby,2017-05-06
ERR3563044,ERR3563044,Valby,2017-05-09
ERR3563045,ERR3563045,Amager,2017-05-09
ERR3563046,ERR3563046,Avedoere,2017-05-16
ERR3563047,ERR3563047,Valby,2017-06-11
ERR3563048,ERR3563048,Valby,2017-07-01
ERR3563049,ERR3563049,Avedoere,2017-07-05
ERR3563050,ERR3563050,Amager,2017-07-05
ERR3563051,ERR3563051,Valby,2017-07-11
ERR3563052,ERR3563052,Valby,2017-07-18
ERR3563053,ERR3563053,Valby,2017-07-27
ERR3563054,ERR3563054,Amager,2017-08-08
ERR3563055,ERR3563055,Avedoere,2017-08-08
ERR3563056,ERR3563056,Valby,2017-08-09
ERR3563057,ERR3563057,Valby,2017-08-23
ERR3563058,ERR3563058,Valby,2017-09-13
ERR3563059,ERR3563059,Amager,2017-09-13
ERR3563060,ERR3563060,Avedoere,2017-09-20
ERR3563061,ERR3563061,Valby,2017-10-05
ERR3563062,ERR3563062,Avedoere,2017-10-18
ERR3563063,ERR3563063,Valby,2017-10-27
ERR3563064,ERR3563064,Amager,2017-10-30
ERR3563065,ERR3563065,Valby,2017-11-01
ERR3563066,ERR3563066,Valby,2017-11-04
ERR3563067,ERR3563067,Amager,2017-11-04
ERR3563068,ERR3563068,Valby,2017-12-04
ERR3563069,ERR3563069,Avedoere,2018-01-02
ERR3563070,ERR3563070,Amager,2018-01-02
ERR3563071,ERR3563071,Valby,2018-01-15
ERR3563072,ERR3563072,Valby,2018-02-02
ERR3563073,ERR3563073,Valby,2018-02-13
ERR3563074,ERR3563074,Avedoere,2018-02-26
ERR3563075,ERR3563075,Amager,2018-02-26
ERR3563076,ERR3563076,Valby,2018-02-26
ERR3563077,ERR3563077,Amager,2018-03-01
ERR3563078,ERR3563078,Valby,2018-03-01
ERR3563079,ERR3563079,Avedoere,2018-03-06
ERR3563080,ERR3563080,Amager,2018-03-06
ERR3563081,ERR3563081,Valby,2018-03-06
ERR3563082,ERR3563082,Avedoere,2018-03-12
ERR3563083,ERR3563083,Amager,2018-03-12
ERR3563084,ERR3563084,Valby,2018-03-12
ERR3563085,ERR3563085,Amager,2018-03-16
ERR3563086,ERR3563086,Valby,2018-03-16
ERR3563087,ERR3563087,Avedoere,2018-03-20
ERR3563088,ERR3563088,Amager,2018-03-20
ERR3563089,ERR3563089,Valby,2018-03-20
ERR3563090,ERR3563090,Valby,2018-04-22
ERR3563091,ERR3563091,Avedoere,2018-05-04
ERR3563092,ERR3563092,Valby,2018-05-04
ERR3563093,ERR3563093,Amager,2018-05-04
ERR3563094,ERR3563094,Avedoere,2018-05-12
ERR3563095,ERR3563095,Valby,2018-05-12
ERR3563096,ERR3563096,Amager,2018-05-12
ERR3563097,ERR3563097,Valby,2018-06-24
ERR3563098,ERR3563098,Valby,2018-07-12
ERR3563100,ERR3563100,Amager,2018-08-07
ERR3563101,ERR3563101,Avedoere,2018-08-07
ERR3563103,ERR3563103,Valby,2018-08-21
ERR3563104,ERR3563104,Valby,2018-09-05
ERR3563105,ERR3563105,Valby,2018-09-19
ERR3563106,ERR3563106,Valby,2018-09-26
ERR3563107,ERR3563107,Valby,2018-10-04
ERR3563108,ERR3563108,Valby,2018-10-18
ERR3563109,ERR3563109,Avedoere,2018-10-18
ERR3563110,ERR3563110,Amager,2018-10-18
ERR3563111,ERR3563111,Valby,2018-11-02
ERR3563112,ERR3563112,Valby,2018-11-27
