position	mean_phred_score	sample	read_pair	stage
117	29.516072463300844	2A	2	cleaned
122	28.991860196119763	2A	2	cleaned
127	30.036367266078457	2A	2	cleaned
132	28.876431325005363	2A	2	cleaned
137	29.16210478872182	2A	2	cleaned
142	27.94038674884401	2A	2	cleaned
147	27.68891615460558	2A	2	cleaned
150	27.412314669893718	2A	2	cleaned
1	37.08510745315914	2C	1	cleaned
2	41.035407630713024	2C	1	cleaned
3	41.6537112842275	2C	1	cleaned
4	41.96459425578622	2C	1	cleaned
5	33.41553414033197	2C	1	cleaned
6	30.263249698778747	2C	1	cleaned
7	30.07378490522779	2C	1	cleaned
8	29.786893475488483	2C	1	cleaned
9	37.526476024566925	2C	1	cleaned
12	38.10763131817076	2C	1	cleaned
17	34.119245915479965	2C	1	cleaned
22	33.39024874830814	2C	1	cleaned
27	33.91209203760828	2C	1	cleaned
32	32.52814021561239	2C	1	cleaned
37	23.663377219350025	2C	1	cleaned
42	28.00309999153788	2C	1	cleaned
47	34.18698671605292	2C	1	cleaned
52	34.411065270961586	2C	1	cleaned
57	28.03242939150301	2C	1	cleaned
62	31.51028629233708	2C	1	cleaned
67	30.249317572827152	2C	1	cleaned
72	33.23951731790615	2C	1	cleaned
77	30.685570081885526	2C	1	cleaned
82	35.93892282772986	2C	1	cleaned
87	27.494392259597085	2C	1	cleaned
92	25.061506643009622	2C	1	cleaned
97	27.92728454830734	2C	1	cleaned
102	32.67286859607862	2C	1	cleaned
107	34.69075195215019	2C	1	cleaned
112	30.18240072197682	2C	1	cleaned
117	27.653555944316146	2C	1	cleaned
122	27.619155928640577	2C	1	cleaned
127	26.682674014137103	2C	1	cleaned
132	24.864994520244988	2C	1	cleaned
137	25.786231204819114	2C	1	cleaned
142	27.864145716891233	2C	1	cleaned
147	27.022614311577552	2C	1	cleaned
150	29.688786050374823	2C	1	cleaned
1	35.722651218410235	2C	2	cleaned
2	33.680155226057366	2C	2	cleaned
3	33.75204353805043	2C	2	cleaned
4	33.995185188442775	2C	2	cleaned
5	33.41125117456015	2C	2	cleaned
6	33.18538044919899	2C	2	cleaned
7	29.687922163923407	2C	2	cleaned
8	28.888758162386083	2C	2	cleaned
9	36.42042213335967	2C	2	cleaned
12	32.80209068215642	2C	2	cleaned
17	29.196933519529885	2C	2	cleaned
