mean_phred_score	n_sequences	sample	read_pair	stage
14	1080	SRR12204849	1	raw_concat
15	7253	SRR12204849	1	raw_concat
16	25005	SRR12204849	1	raw_concat
17	55049	SRR12204849	1	raw_concat
18	94286	SRR12204849	1	raw_concat
19	143397	SRR12204849	1	raw_concat
20	213823	SRR12204849	1	raw_concat
21	311805	SRR12204849	1	raw_concat
22	438754	SRR12204849	1	raw_concat
23	618187	SRR12204849	1	raw_concat
24	1020938	SRR12204849	1	raw_concat
25	2319255	SRR12204849	1	raw_concat
26	2663020	SRR12204849	1	raw_concat
27	2002952	SRR12204849	1	raw_concat
28	2291440	SRR12204849	1	raw_concat
29	2933077	SRR12204849	1	raw_concat
30	3785283	SRR12204849	1	raw_concat
31	4901674	SRR12204849	1	raw_concat
32	6436338	SRR12204849	1	raw_concat
33	8745574	SRR12204849	1	raw_concat
34	12461211	SRR12204849	1	raw_concat
35	18304121	SRR12204849	1	raw_concat
36	25491398	SRR12204849	1	raw_concat
37	28396434	SRR12204849	1	raw_concat
38	20211518	SRR12204849	1	raw_concat
39	9184080	SRR12204849	1	raw_concat
40	8745883	SRR12204849	1	raw_concat
11	6	SRR12204849	2	raw_concat
12	2616	SRR12204849	2	raw_concat
13	16539	SRR12204849	2	raw_concat
14	36480	SRR12204849	2	raw_concat
15	64706	SRR12204849	2	raw_concat
16	121200	SRR12204849	2	raw_concat
17	231068	SRR12204849	2	raw_concat
18	382982	SRR12204849	2	raw_concat
19	528113	SRR12204849	2	raw_concat
20	639399	SRR12204849	2	raw_concat
21	733293	SRR12204849	2	raw_concat
22	832681	SRR12204849	2	raw_concat
23	961840	SRR12204849	2	raw_concat
24	1138508	SRR12204849	2	raw_concat
25	1396808	SRR12204849	2	raw_concat
26	3127457	SRR12204849	2	raw_concat
27	3450140	SRR12204849	2	raw_concat
28	2450567	SRR12204849	2	raw_concat
29	2733440	SRR12204849	2	raw_concat
30	3229972	SRR12204849	2	raw_concat
31	3876582	SRR12204849	2	raw_concat
32	4719854	SRR12204849	2	raw_concat
33	5814369	SRR12204849	2	raw_concat
34	7250452	SRR12204849	2	raw_concat
35	9125269	SRR12204849	2	raw_concat
36	11637647	SRR12204849	2	raw_concat
37	15249570	SRR12204849	2	raw_concat
38	21344851	SRR12204849	2	raw_concat
39	32276251	SRR12204849	2	raw_concat
40	28430240	SRR12204849	2	raw_concat
12	2	SRR12204850	1	raw_concat
13	73	SRR12204850	1	raw_concat
14	1276	SRR12204850	1	raw_concat
15	9706	SRR12204850	1	raw_concat
16	33133	SRR12204850	1	raw_concat
17	70427	SRR12204850	1	raw_concat
18	111041	SRR12204850	1	raw_concat
19	156903	SRR12204850	1	raw_concat
20	216476	SRR12204850	1	raw_concat
21	300394	SRR12204850	1	raw_concat
22	414364	SRR12204850	1	raw_concat
23	575533	SRR12204850	1	raw_concat
24	880615	SRR12204850	1	raw_concat
25	1681677	SRR12204850	1	raw_concat
26	1971398	SRR12204850	1	raw_concat
27	1847444	SRR12204850	1	raw_concat
28	2283781	SRR12204850	1	raw_concat
29	2982823	SRR12204850	1	raw_concat
30	3889381	SRR12204850	1	raw_concat
31	5075024	SRR12204850	1	raw_concat
32	6724406	SRR12204850	1	raw_concat
33	9211300	SRR12204850	1	raw_concat
34	13210917	SRR12204850	1	raw_concat
35	19487333	SRR12204850	1	raw_concat
36	27158490	SRR12204850	1	raw_concat
37	30340778	SRR12204850	1	raw_concat
38	21769024	SRR12204850	1	raw_concat
39	9575566	SRR12204850	1	raw_concat
40	8003407	SRR12204850	1	raw_concat
11	10	SRR12204850	2	raw_concat
12	3186	SRR12204850	2	raw_concat
13	19664	SRR12204850	2	raw_concat
14	39933	SRR12204850	2	raw_concat
15	65340	SRR12204850	2	raw_concat
16	120326	SRR12204850	2	raw_concat
17	241642	SRR12204850	2	raw_concat
18	416306	SRR12204850	2	raw_concat
19	579971	SRR12204850	2	raw_concat
20	699511	SRR12204850	2	raw_concat
21	799363	SRR12204850	2	raw_concat
22	911694	SRR12204850	2	raw_concat
23	1046371	SRR12204850	2	raw_concat
24	1221807	SRR12204850	2	raw_concat
25	1470529	SRR12204850	2	raw_concat
26	2504097	SRR12204850	2	raw_concat
27	2829883	SRR12204850	2	raw_concat
28	2455943	SRR12204850	2	raw_concat
29	2783437	SRR12204850	2	raw_concat
30	3276976	SRR12204850	2	raw_concat
31	3908922	SRR12204850	2	raw_concat
32	4732123	SRR12204850	2	raw_concat
33	5801466	SRR12204850	2	raw_concat
34	7238384	SRR12204850	2	raw_concat
35	9171201	SRR12204850	2	raw_concat
36	11868098	SRR12204850	2	raw_concat
37	15884394	SRR12204850	2	raw_concat
38	22753833	SRR12204850	2	raw_concat
39	34608673	SRR12204850	2	raw_concat
40	30529609	SRR12204850	2	raw_concat
13	15	SRR12204851	1	raw_concat
14	146	SRR12204851	1	raw_concat
15	556	SRR12204851	1	raw_concat
16	1363	SRR12204851	1	raw_concat
17	2770	SRR12204851	1	raw_concat
18	5018	SRR12204851	1	raw_concat
19	9540	SRR12204851	1	raw_concat
20	19114	SRR12204851	1	raw_concat
21	38675	SRR12204851	1	raw_concat
22	79627	SRR12204851	1	raw_concat
23	176100	SRR12204851	1	raw_concat
24	504766	SRR12204851	1	raw_concat
25	1316688	SRR12204851	1	raw_concat
26	1866124	SRR12204851	1	raw_concat
27	1862346	SRR12204851	1	raw_concat
28	2012099	SRR12204851	1	raw_concat
29	2382530	SRR12204851	1	raw_concat
30	2856134	SRR12204851	1	raw_concat
31	3478334	SRR12204851	1	raw_concat
32	4248919	SRR12204851	1	raw_concat
33	5475909	SRR12204851	1	raw_concat
34	8842782	SRR12204851	1	raw_concat
35	23082514	SRR12204851	1	raw_concat
36	105273474	SRR12204851	1	raw_concat
37	6598516	SRR12204851	1	raw_concat
11	480	SRR12204851	2	raw_concat
12	12110	SRR12204851	2	raw_concat
13	41366	SRR12204851	2	raw_concat
14	45503	SRR12204851	2	raw_concat
15	36997	SRR12204851	2	raw_concat
16	37017	SRR12204851	2	raw_concat
17	53610	SRR12204851	2	raw_concat
18	102611	SRR12204851	2	raw_concat
19	198786	SRR12204851	2	raw_concat
20	351050	SRR12204851	2	raw_concat
21	579574	SRR12204851	2	raw_concat
22	981239	SRR12204851	2	raw_concat
23	1810051	SRR12204851	2	raw_concat
24	2667435	SRR12204851	2	raw_concat
25	2751045	SRR12204851	2	raw_concat
26	2569081	SRR12204851	2	raw_concat
27	2469774	SRR12204851	2	raw_concat
28	2469140	SRR12204851	2	raw_concat
29	2792767	SRR12204851	2	raw_concat
30	3511134	SRR12204851	2	raw_concat
31	6066919	SRR12204851	2	raw_concat
32	7927849	SRR12204851	2	raw_concat
33	7636575	SRR12204851	2	raw_concat
34	12512263	SRR12204851	2	raw_concat
35	27225427	SRR12204851	2	raw_concat
36	81631932	SRR12204851	2	raw_concat
37	3652324	SRR12204851	2	raw_concat
25	77920	SRR12204734	1	cleaned
26	171091	SRR12204734	1	cleaned
27	346953	SRR12204734	1	cleaned
28	657636	SRR12204734	1	cleaned
29	1173923	SRR12204734	1	cleaned
