position	mean_phred_score	sample	read_pair	stage
52	32.926168272968894	2C	1	raw_concat
57	26.954552991984297	2C	1	raw_concat
62	30.193975110503334	2C	1	raw_concat
67	29.037888951530125	2C	1	raw_concat
72	31.98292274301243	2C	1	raw_concat
77	29.46684009433534	2C	1	raw_concat
82	34.548643594810116	2C	1	raw_concat
87	26.356971890331483	2C	1	raw_concat
92	24.22856109227331	2C	1	raw_concat
97	26.744760173094868	2C	1	raw_concat
102	31.19547157968167	2C	1	raw_concat
107	33.12324702553464	2C	1	raw_concat
112	28.408938536985225	2C	1	raw_concat
117	26.17795132072043	2C	1	raw_concat
122	26.157290998543765	2C	1	raw_concat
127	25.24537221690131	2C	1	raw_concat
132	23.83224730597589	2C	1	raw_concat
137	24.26145143990695	2C	1	raw_concat
142	25.299503696694142	2C	1	raw_concat
147	24.07202573907946	2C	1	raw_concat
150	24.959686315903134	2C	1	raw_concat
1	35.52164959262379	2C	2	raw_concat
2	33.224055431107125	2C	2	raw_concat
3	33.29364223044085	2C	2	raw_concat
4	33.51828004603745	2C	2	raw_concat
5	32.9898776290757	2C	2	raw_concat
6	32.780258595882366	2C	2	raw_concat
7	29.305161722002858	2C	2	raw_concat
8	28.53363352305125	2C	2	raw_concat
9	35.975806663240185	2C	2	raw_concat
12	32.23576079179066	2C	2	raw_concat
17	28.345353587269976	2C	2	raw_concat
22	29.670666695471596	2C	2	raw_concat
27	31.283732218598686	2C	2	raw_concat
32	30.290590953957143	2C	2	raw_concat
37	29.61848690858498	2C	2	raw_concat
42	30.226941453525416	2C	2	raw_concat
47	31.21242823025052	2C	2	raw_concat
52	31.24418673522241	2C	2	raw_concat
57	31.042898703098558	2C	2	raw_concat
62	31.874744163980136	2C	2	raw_concat
67	31.034386890044857	2C	2	raw_concat
72	31.921809545442283	2C	2	raw_concat
77	31.290153261367387	2C	2	raw_concat
82	32.017549157469944	2C	2	raw_concat
87	32.47795920952916	2C	2	raw_concat
92	30.45207191485229	2C	2	raw_concat
97	30.729559598200474	2C	2	raw_concat
102	32.44030374476746	2C	2	raw_concat
107	31.546875118367733	2C	2	raw_concat
112	29.89460738285902	2C	2	raw_concat
117	28.12454051350815	2C	2	raw_concat
122	27.61861927294965	2C	2	raw_concat
127	28.531839394757903	2C	2	raw_concat
132	27.38407765810033	2C	2	raw_concat
137	27.518898196652504	2C	2	raw_concat
142	26.335811871725447	2C	2	raw_concat
147	25.78736803994186	2C	2	raw_concat
150	25.44715039263199	2C	2	raw_concat
1	37.037520732413256	6A	1	raw_concat
2	40.74790569599364	6A	1	raw_concat
3	41.41096630621413	6A	1	raw_concat
4	41.733752866726384	6A	1	raw_concat
5	32.41442252428905	6A	1	raw_concat
6	29.654441457806083	6A	1	raw_concat
7	29.529125024210845	6A	1	raw_concat
8	29.262394945226283	6A	1	raw_concat
9	37.14814562654677	6A	1	raw_concat
12	37.61177004519325	6A	1	raw_concat
17	33.12014913923165	6A	1	raw_concat
22	32.11900537455845	6A	1	raw_concat
27	32.63654837961544	6A	1	raw_concat
32	31.3294306810036	6A	1	raw_concat
37	23.297426573029345	6A	1	raw_concat
42	27.161050053371667	6A	1	raw_concat
47	32.820455466041	6A	1	raw_concat
52	33.066025336712485	6A	1	raw_concat
57	27.084381580375855	6A	1	raw_concat
62	30.32920274894463	6A	1	raw_concat
67	29.208802503788785	6A	1	raw_concat
72	32.13927039013942	6A	1	raw_concat
77	29.610777912157225	6A	1	raw_concat
82	34.71123760393808	6A	1	raw_concat
87	26.54085676187275	6A	1	raw_concat
92	24.40398875344144	6A	1	raw_concat
97	26.939015056227948	6A	1	raw_concat
102	31.361911422205445	6A	1	raw_concat
107	33.303662682914705	6A	1	raw_concat
112	28.58900122115791	6A	1	raw_concat
117	26.365157167982865	6A	1	raw_concat
122	26.322305471744567	6A	1	raw_concat
