position	pc_adapters	sample	adapter	read_pair	stage
46	0.0163756497313403	1A	illumina_universal_adapter	2	raw_concat
48	0.016383297734639753	1A	illumina_universal_adapter	2	raw_concat
50	0.01639476973958893	1A	illumina_universal_adapter	2	raw_concat
52	0.01640687907814639	1A	illumina_universal_adapter	2	raw_concat
54	0.016455316432376247	1A	illumina_universal_adapter	2	raw_concat
56	0.018548957335600847	1A	illumina_universal_adapter	2	raw_concat
58	0.029349212661641665	1A	illumina_universal_adapter	2	raw_concat
60	0.09673385773227601	1A	illumina_universal_adapter	2	raw_concat
62	0.1595233274871571	1A	illumina_universal_adapter	2	raw_concat
64	0.20642916905629594	1A	illumina_universal_adapter	2	raw_concat
66	0.29930269712317426	1A	illumina_universal_adapter	2	raw_concat
68	0.40813760807600596	1A	illumina_universal_adapter	2	raw_concat
70	0.4922063723443918	1A	illumina_universal_adapter	2	raw_concat
72	0.5347012280105725	1A	illumina_universal_adapter	2	raw_concat
74	0.5583526782141235	1A	illumina_universal_adapter	2	raw_concat
76	0.565430905267765	1A	illumina_universal_adapter	2	raw_concat
78	0.5668483352125965	1A	illumina_universal_adapter	2	raw_concat
80	0.5673295220868535	1A	illumina_universal_adapter	2	raw_concat
82	0.5675168981676901	1A	illumina_universal_adapter	2	raw_concat
84	0.5676010262039841	1A	illumina_universal_adapter	2	raw_concat
86	0.5677501622683233	1A	illumina_universal_adapter	2	raw_concat
88	0.5687227333545701	1A	illumina_universal_adapter	2	raw_concat
90	0.5740055916336657	1A	illumina_universal_adapter	2	raw_concat
92	0.6292343727934315	1A	illumina_universal_adapter	2	raw_concat
94	1.037275743494586	1A	illumina_universal_adapter	2	raw_concat
96	1.7644013718529439	1A	illumina_universal_adapter	2	raw_concat
98	2.6792822945447723	1A	illumina_universal_adapter	2	raw_concat
100	3.745638933251911	1A	illumina_universal_adapter	2	raw_concat
102	4.68638604043609	1A	illumina_universal_adapter	2	raw_concat
104	5.852636436905394	1A	illumina_universal_adapter	2	raw_concat
106	7.219528375934135	1A	illumina_universal_adapter	2	raw_concat
108	8.736820849181004	1A	illumina_universal_adapter	2	raw_concat
110	10.188264651353215	1A	illumina_universal_adapter	2	raw_concat
112	11.59493704221044	1A	illumina_universal_adapter	2	raw_concat
114	12.919227053526807	1A	illumina_universal_adapter	2	raw_concat
116	14.446590672451837	1A	illumina_universal_adapter	2	raw_concat
118	16.432601862576877	1A	illumina_universal_adapter	2	raw_concat
120	18.45012155162844	1A	illumina_universal_adapter	2	raw_concat
122	20.05895425103365	1A	illumina_universal_adapter	2	raw_concat
124	21.49315435510003	1A	illumina_universal_adapter	2	raw_concat
126	23.244376305267195	1A	illumina_universal_adapter	2	raw_concat
128	25.542719203469634	1A	illumina_universal_adapter	2	raw_concat
130	27.75796272182189	1A	illumina_universal_adapter	2	raw_concat
132	29.354981168130273	1A	illumina_universal_adapter	2	raw_concat
134	30.678269291014416	1A	illumina_universal_adapter	2	raw_concat
136	31.863959637203706	1A	illumina_universal_adapter	2	raw_concat
138	33.166359788409835	1A	illumina_universal_adapter	2	raw_concat
1	0.001198904505229841	1C	illumina_universal_adapter	1	raw_concat
2	0.0013044418736479608	1C	illumina_universal_adapter	1	raw_concat
3	0.0023091576209884612	1C	illumina_universal_adapter	1	raw_concat
4	0.00543517447353317	1C	illumina_universal_adapter	1	raw_concat
5	0.010954778841800836	1C	illumina_universal_adapter	1	raw_concat
6	0.013251271978579122	1C	illumina_universal_adapter	1	raw_concat
7	0.01377684807330136	1C	illumina_universal_adapter	1	raw_concat
8	0.014019584020663035	1C	illumina_universal_adapter	1	raw_concat
