library,sample,country,city,date,dataset,bioproject
ERR2683213,ERR2683213,New Zealand,Christchurch,2017-06-06,Munk 2022,PRJEB27621
ERR2683214,ERR2683214,Spain,Barcelona,2017-06-08,Munk 2022,PRJEB27621
ERR2683215,ERR2683215,Philippines,Manila,2017-06-29,Munk 2022,PRJEB27621
ERR2683216,ERR2683216,France,Nantes,2017-06-19,Munk 2022,PRJEB27621
ERR2683217,ERR2683217,France,Saint Philibert,2017-06-20,Munk 2022,PRJEB27621
ERR2683218,ERR2683218,Switzerland,Bern,2017-06-11,Munk 2022,PRJEB27621
ERR2683219,ERR2683219,Slovenia,Ljubljana,2017-06-14,Munk 2022,PRJEB27621
ERR2683220,ERR2683220,Sweden,Uppsala,2017-06-12,Munk 2022,PRJEB27621
ERR2683221,ERR2683221,Italy,Verbania,2017-06-12,Munk 2022,PRJEB27621
ERR2683222,ERR2683222,Italy,Cannobio,2017-06-12,Munk 2022,PRJEB27621
ERR2683223,ERR2683223,Italy,Novara,2017-06-12,Munk 2022,PRJEB27621
ERR2683224,ERR2683224,Ireland,Galway,2017-06-12,Munk 2022,PRJEB27621
ERR2683225,ERR2683225,Greece,Athens,2017-06-09,Munk 2022,PRJEB27621
ERR2683226,ERR2683226,Austria,Vienna,2017-06-07,Munk 2022,PRJEB27621
ERR2683227,ERR2683227,Senegal,Dakar,2017-06-15,Munk 2022,PRJEB27621
ERR2683228,ERR2683228,Montenegro,Podgorica,2017-06-16,Munk 2022,PRJEB27621
ERR2683229,ERR2683229,Ethiopia,Addis Ababa,2017-06-27,Munk 2022,PRJEB27621
ERR2683230,ERR2683230,Serbia,Belgrade,2017-06-16,Munk 2022,PRJEB27621
ERR2683231,ERR2683231,Finland,Turku,2017-06-12,Munk 2022,PRJEB27621
ERR2683232,ERR2683232,Finland,Oulu,2017-06-12,Munk 2022,PRJEB27621
ERR2683233,ERR2683233,Finland,Helsinki,2017-06-06,Munk 2022,PRJEB27621
ERR2683234,ERR2683234,Czech Republic,Prague,2017-06-13,Munk 2022,PRJEB27621
ERR2683235,ERR2683235,Czech Republic,Brno,2017-06-13,Munk 2022,PRJEB27621
ERR2683236,ERR2683236,United Kingdom,Falmouth,2017-06-09,Munk 2022,PRJEB27621
ERR2683237,ERR2683237,Tanzania,Mwanza,2017-06-12,Munk 2022,PRJEB27621
ERR2683238,ERR2683238,Tanzania,Morogoro,2017-06-17,Munk 2022,PRJEB27621
ERR2683239,ERR2683239,Paraguay,San Lorenzo,2017-06-16,Munk 2022,PRJEB27621
ERR2683240,ERR2683240,Paraguay,Asuncion,2017-06-15,Munk 2022,PRJEB27621
ERR2683241,ERR2683241,Barbados,Bridgetown,2017-06-15,Munk 2022,PRJEB27621
ERR2683242,ERR2683242,Barbados,Worthing,2017-06-15,Munk 2022,PRJEB27621
ERR2683243,ERR2683243,USA,Waco,2017-06-15,Munk 2022,PRJEB27621
ERR2683244,ERR2683244,USA,Austin,2017-06-08,Munk 2022,PRJEB27621
ERR2683245,ERR2683245,USA,Houston,2017-06-09,Munk 2022,PRJEB27621
ERR2683246,ERR2683246,Bangladesh,Dhaka,2017-06-14,Munk 2022,PRJEB27621
ERR2683247,ERR2683247,United Kingdom,Camborne,2017-06-09,Munk 2022,PRJEB27621
ERR2683248,ERR2683248,USA,Houston,2017-06-09,Munk 2022,PRJEB27621
ERR2683249,ERR2683249,Slovakia,Bratislava,2017-06-22,Munk 2022,PRJEB27621
ERR2683250,ERR2683250,Sweden,Gothenburg,2017-06-08,Munk 2022,PRJEB27621
ERR2683251,ERR2683251,Latvia,Riga,2017-06-06,Munk 2022,PRJEB27621
ERR2683252,ERR2683252,Latvia,Liepaja,2017-06-12,Munk 2022,PRJEB27621
ERR2683253,ERR2683253,Germany,Berlin,2017-06-14,Munk 2022,PRJEB27621
ERR2683254,ERR2683254,Mauritius,Beau Bassin Rose-Hill,2017-06-13,Munk 2022,PRJEB27621
ERR2683255,ERR2683255,Israel,Beer-Sheva,2017-06-12,Munk 2022,PRJEB27621
ERR2683256,ERR2683256,Bosnia and Herzegovina,Banja Luka,2017-06-13,Munk 2022,PRJEB27621
ERR2683257,ERR2683257,Australia,Maningrida,2017-06-20,Munk 2022,PRJEB27621
ERR2683258,ERR2683258,Chad,N'Djamena,2017-06-11,Munk 2022,PRJEB27621
ERR2683259,ERR2683259,Australia,Darwin,2017-06-15,Munk 2022,PRJEB27621
ERR2683260,ERR2683260,Malta,Xghajra,2017-06-12,Munk 2022,PRJEB27621
ERR2683261,ERR2683261,Malta,Cirkewwa,2017-06-13,Munk 2022,PRJEB27621
ERR2683262,ERR2683262,Malta,Ghajnsielem,2017-06-13,Munk 2022,PRJEB27621
