library,sample_accession,sample
SRR18341060,SAMN26732578,PL_2_17_21
SRR18341061,SAMN26732577,PL_2_15_21
SRR18341062,SAMN26732460,ESC_12_21_20
SRR18341063,SAMN26732576,PL_2_14_21
SRR18341064,SAMN26732575,PL_2_10_21
SRR18341065,SAMN26732574,PL_2_1_21
SRR18341066,SAMN26732573,PL_1_6_21
SRR18341067,SAMN26732572,PL_1_31_21
SRR18341068,SAMN26732571,PL_1_27_21
SRR18341069,SAMN26732570,PL_1_25_21
SRR18341070,SAMN26732546,HTP_5_4_2021
SRR18341071,SAMN26732545,HTP_5_31_2021
SRR18341072,SAMN26732544,HTP_5_25_2021
SRR18341073,SAMN26732543,HTP_5_24_2021
SRR18341074,SAMN26732542,HTP_5_23_2021
SRR18341075,SAMN26732541,HTP_5_20_2021
SRR18341076,SAMN26732540,HTP_5_2_2021
SRR18341077,SAMN26732539,HTP_5_18_2021
SRR18341078,SAMN26732538,HTP_5_16_2021
SRR18341079,SAMN26732537,HTP_5_13_2021
SRR18341080,SAMN26732456,ESC_11_2_20
SRR18341081,SAMN26732536,HTP_5_11_2021
SRR18341082,SAMN26732620,PL_6_7_2021
SRR18341083,SAMN26732619,PL_6_28_2021
SRR18341084,SAMN26732618,PL_6_21_2021
SRR18341085,SAMN26732617,PL_6_2_2021
SRR18341086,SAMN26732464,ESC_2_22_21
SRR18341087,SAMN26732616,PL_6_14_2021
SRR18341088,SAMN26732615,PL_5_9_2021
SRR18341089,SAMN26732614,PL_5_5_2021
SRR18341090,SAMN26732613,PL_5_4_2021
SRR18341091,SAMN26732612,PL_5_31_2021
SRR18341092,SAMN26732611,PL_5_3_2021
SRR18341093,SAMN26732610,PL_5_24_2021
SRR18341094,SAMN26732609,PL_5_17_2021
SRR18341095,SAMN26732608,PL_5_12_2021
SRR18341096,SAMN26732607,PL_5_10_2021
SRR18341097,SAMN26732463,ESC_2_15_21
SRR18341098,SAMN26732606,PL_4_7_2021
SRR18341099,SAMN26732605,PL_4_5_2021
SRR18341100,SAMN26732604,PL_4_4_2021
SRR18341101,SAMN26732603,PL_4_28_2021
SRR18341102,SAMN26732602,PL_4_26_2021
SRR18341103,SAMN26732601,PL_4_25_2021
SRR18341104,SAMN26732600,PL_4_21_2021
SRR18341105,SAMN26732599,PL_4_14_2021
SRR18341106,SAMN26732598,PL_3_8_2021
SRR18341107,SAMN26732597,PL_3_7_2021
SRR18341108,SAMN26732462,ESC_12_7_20
SRR18341109,SAMN26732596,PL_3_31_2021
SRR18341110,SAMN26732569,PL_1_24_21
SRR18341111,SAMN26732568,PL_1_20_21
SRR18341112,SAMN26732567,PL_1_18_21
SRR18341113,SAMN26732459,ESC_12_14_20
SRR18341114,SAMN26732566,PL_1_17_21
SRR18341115,SAMN26732565,PL_1_14_21
SRR18341116,SAMN26732564,PL_1_13_21
SRR18341117,SAMN26732563,PL_1_12_21
