position	pc_adapters	sample	adapter	read_pair	stage
22	0.032791577493347226	SRR8663599	polya	1	dedup
24	0.03745648809909537	SRR8663599	polya	1	dedup
26	0.04582060949062343	SRR8663599	polya	1	dedup
28	0.051662301844201695	SRR8663599	polya	1	dedup
30	0.05685491726960461	SRR8663599	polya	1	dedup
32	0.06226389167106597	SRR8663599	polya	1	dedup
34	0.06759898739777566	SRR8663599	polya	1	dedup
36	0.07134041456912796	SRR8663599	polya	1	dedup
38	0.07526126137916288	SRR8663599	polya	1	dedup
40	0.07926126391214601	SRR8663599	polya	1	dedup
42	0.08308712385464308	SRR8663599	polya	1	dedup
44	0.08680744283320918	SRR8663599	polya	1	dedup
46	0.09053303885997184	SRR8663599	polya	1	dedup
48	0.09478633970638925	SRR8663599	polya	1	dedup
50	0.09885494386592752	SRR8663599	polya	1	dedup
52	0.10259637103727981	SRR8663599	polya	1	dedup
54	0.10602117531683924	SRR8663599	polya	1	dedup
56	0.10925600586132297	SRR8663599	polya	1	dedup
58	0.11235363315269645	SRR8663599	polya	1	dedup
60	0.11562540303455601	SRR8663599	polya	1	dedup
62	0.11925073514558426	SRR8663599	polya	1	dedup
64	0.12265970828055406	SRR8663599	polya	1	dedup
66	0.12593675521061015	SRR8663599	polya	1	dedup
68	0.12910298412853877	SRR8663599	polya	1	dedup
70	0.1326174982274395	SRR8663599	polya	1	dedup
72	0.13627449262764704	SRR8663599	polya	1	dedup
74	0.13953043136491697	SRR8663599	polya	1	dedup
76	0.14266499799366628	SRR8663599	polya	1	dedup
78	0.14603703179126024	SRR8663599	polya	1	dedup
80	0.14972041143245052	SRR8663599	polya	1	dedup
82	0.1536729205316647	SRR8663599	polya	1	dedup
84	0.1573826854138377	SRR8663599	polya	1	dedup
86	0.16055946842815944	SRR8663599	polya	1	dedup
88	0.16362543343035363	SRR8663599	polya	1	dedup
90	0.16684970987844427	SRR8663599	polya	1	dedup
92	0.16967293066359723	SRR8663599	polya	1	dedup
94	0.17255419897891228	SRR8663599	polya	1	dedup
96	0.17551462301717552	SRR8663599	polya	1	dedup
98	0.17818480940462866	SRR8663599	polya	1	dedup
100	0.1806491909124164	SRR8663599	polya	1	dedup
102	0.18312940356479382	SRR8663599	polya	1	dedup
104	0.18541436543389894	SRR8663599	polya	1	dedup
106	0.1877784830259523	SRR8663599	polya	1	dedup
108	0.18997373507571613	SRR8663599	polya	1	dedup
110	0.19221120351105236	SRR8663599	polya	1	dedup
112	0.19445394899458512	SRR8663599	polya	1	dedup
114	0.1965119977912387	SRR8663599	polya	1	dedup
116	0.19839590399740623	SRR8663599	polya	1	dedup
118	0.20008455942030148	SRR8663599	polya	1	dedup
120	0.2015040853851728	SRR8663599	polya	1	dedup
122	0.2028761179162752	SRR8663599	polya	1	dedup
124	0.20402123737492606	SRR8663599	polya	1	dedup
126	0.2047600241224427	SRR8663599	polya	1	dedup
128	0.2053457764722595	SRR8663599	polya	1	dedup
130	0.20581543376175226	SRR8663599	polya	1	dedup
132	0.20602651568961416	SRR8663599	polya	1	dedup
134	0.20608984026797272	SRR8663599	polya	1	dedup
136	0.20608984026797272	SRR8663599	polya	1	dedup
138	0.20608984026797272	SRR8663599	polya	1	dedup
1	0.001762534097646922	SRR8663599	polya	2	dedup
2	0.0033984190385766997	SRR8663599	polya	2	dedup
3	0.00432717952116909	SRR8663599	polya	2	dedup
4	0.005467021931623387	SRR8663599	polya	2	dedup
5	0.006427444703395063	SRR8663599	polya	2	dedup
6	0.007978896873180078	SRR8663599	polya	2	dedup
7	0.01005805386261986	SRR8663599	polya	2	dedup
8	0.011831142056659878	SRR8663599	polya	2	dedup
9	0.013467026997589655	SRR8663599	polya	2	dedup
10	0.016981541096490402	SRR8663599	polya	2	dedup
12	0.024321915137888214	SRR8663599	polya	2	dedup
14	0.031604241649123996	SRR8663599	polya	2	dedup
16	0.038580499364960025	SRR8663599	polya	2	dedup
18	0.045192640755234256	SRR8663599	polya	2	dedup
20	0.05393670961691374	SRR8663599	polya	2	dedup
22	0.06443803552804361	SRR8663599	polya	2	dedup
24	0.07448025824607382	SRR8663599	polya	2	dedup
26	0.09402116771788985	SRR8663599	polya	2	dedup
28	0.10417420844804756	SRR8663599	polya	2	dedup
30	0.11154096773042813	SRR8663599	polya	2	dedup
32	0.11824809598824021	SRR8663599	polya	2	dedup
34	0.12439585713721824	SRR8663599	polya	2	dedup
