position	pc_adapters	sample	adapter	read_pair	stage
202	7.140598649133883	SRR5853122	polya	2	raw_concat
207	9.058869377134661	SRR5853122	polya	2	raw_concat
212	11.226211363408172	SRR5853122	polya	2	raw_concat
217	13.52635958769483	SRR5853122	polya	2	raw_concat
222	15.842130073193186	SRR5853122	polya	2	raw_concat
227	18.04439240805755	SRR5853122	polya	2	raw_concat
232	20.081753096798458	SRR5853122	polya	2	raw_concat
237	21.95121702179799	SRR5853122	polya	2	raw_concat
240	23.060874063813024	SRR5853122	polya	2	raw_concat
1	0.010210628242938074	SRR5853122	polyg	2	raw_concat
2	0.011061513929849581	SRR5853122	polyg	2	raw_concat
3	0.011061513929849581	SRR5853122	polyg	2	raw_concat
4	0.011742222479378785	SRR5853122	polyg	2	raw_concat
5	0.012252753891525688	SRR5853122	polyg	2	raw_concat
6	0.01242293102890799	SRR5853122	polyg	2	raw_concat
7	0.012933462441054894	SRR5853122	polyg	2	raw_concat
8	0.013273816715819496	SRR5853122	polyg	2	raw_concat
9	0.0137843481279664	SRR5853122	polyg	2	raw_concat
12	0.01521383608197773	SRR5853122	polyg	2	raw_concat
17	0.017494209722900566	SRR5853122	polyg	2	raw_concat
22	0.01817491827242977	SRR5853122	polyg	2	raw_concat
27	0.019434229089058803	SRR5853122	polyg	2	raw_concat
32	0.02069353990568783	SRR5853122	polyg	2	raw_concat
37	0.021782673584934558	SRR5853122	polyg	2	raw_concat
42	0.022905842691657748	SRR5853122	polyg	2	raw_concat
47	0.024029011798380934	SRR5853122	polyg	2	raw_concat
52	0.02610517287444501	SRR5853122	polyg	2	raw_concat
57	0.02889607792751475	SRR5853122	polyg	2	raw_concat
62	0.030938203576102365	SRR5853122	polyg	2	raw_concat
67	0.03267401037740184	SRR5853122	polyg	2	raw_concat
72	0.03396735662150733	SRR5853122	polyg	2	raw_concat
77	0.03566912799533034	SRR5853122	polyg	2	raw_concat
82	0.038323891338494245	SRR5853122	polyg	2	raw_concat
87	0.039889521002411416	SRR5853122	polyg	2	raw_concat
92	0.04176146951361672	SRR5853122	polyg	2	raw_concat
97	0.04353131174239265	SRR5853122	polyg	2	raw_concat
102	0.046730641925179915	SRR5853122	polyg	2	raw_concat
107	0.04877276757376753	SRR5853122	polyg	2	raw_concat
112	0.05142753091693143	SRR5853122	polyg	2	raw_concat
117	0.05336755028308967	SRR5853122	polyg	2	raw_concat
122	0.055988278198777094	SRR5853122	polyg	2	raw_concat
127	0.05860900611446455	SRR5853122	polyg	2	raw_concat
132	0.060889379755387385	SRR5853122	polyg	2	raw_concat
137	0.062931505403975	SRR5853122	polyg	2	raw_concat
142	0.06504170190751554	SRR5853122	polyg	2	raw_concat
147	0.06759435896825004	SRR5853122	polyg	2	raw_concat
152	0.07218914167757219	SRR5853122	polyg	2	raw_concat
157	0.07814534148595273	SRR5853122	polyg	2	raw_concat
162	0.0845099664240508	SRR5853122	polyg	2	raw_concat
167	0.09295075243821294	SRR5853122	polyg	2	raw_concat
172	0.1061564982990795	SRR5853122	polyg	2	raw_concat
177	0.12205104293058644	SRR5853122	polyg	2	raw_concat
182	0.14155334287459817	SRR5853122	polyg	2	raw_concat
187	0.16646727578736709	SRR5853122	polyg	2	raw_concat
192	0.19611213311936393	SRR5853122	polyg	2	raw_concat
197	0.23198547367955302	SRR5853122	polyg	2	raw_concat
202	0.27102410899505297	SRR5853122	polyg	2	raw_concat
207	0.3088034334939238	SRR5853122	polyg	2	raw_concat
212	0.35182421382416956	SRR5853122	polyg	2	raw_concat
217	0.39361971876526275	SRR5853122	polyg	2	raw_concat
222	0.43524504656897367	SRR5853122	polyg	2	raw_concat
227	0.47622370125063185	SRR5853122	polyg	2	raw_concat
232	0.5133563526274498	SRR5853122	polyg	2	raw_concat
237	0.5444306979134581	SRR5853122	polyg	2	raw_concat
240	0.5646477418344755	SRR5853122	polyg	2	raw_concat
1	1.7256253620300799	SRR5853123	illumina_universal_adapter	1	raw_concat
2	1.7262415834425415	SRR5853123	illumina_universal_adapter	1	raw_concat
3	1.7262415834425415	SRR5853123	illumina_universal_adapter	1	raw_concat
4	1.7262415834425415	SRR5853123	illumina_universal_adapter	1	raw_concat
5	1.7264469905800286	SRR5853123	illumina_universal_adapter	1	raw_concat
6	1.7272686191299775	SRR5853123	illumina_universal_adapter	1	raw_concat
7	1.7346632760795173	SRR5853123	illumina_universal_adapter	1	raw_concat
8	1.7428795615790058	SRR5853123	illumina_universal_adapter	1	raw_concat
9	1.7586959111655212	SRR5853123	illumina_universal_adapter	1	raw_concat
12	1.7995719315254768	SRR5853123	illumina_universal_adapter	1	raw_concat
17	1.8750795952657764	SRR5853123	illumina_universal_adapter	1	raw_concat
22	1.9536683660683842	SRR5853123	illumina_universal_adapter	1	raw_concat
27	2.2038131781003125	SRR5853123	illumina_universal_adapter	1	raw_concat
32	2.64498662799535	SRR5853123	illumina_universal_adapter	1	raw_concat
37	2.8605408780744312	SRR5853123	illumina_universal_adapter	1	raw_concat
42	2.9275857677502577	SRR5853123	illumina_universal_adapter	1	raw_concat
47	2.9604098283207145	SRR5853123	illumina_universal_adapter	1	raw_concat
52	2.984976521964185	SRR5853123	illumina_universal_adapter	1	raw_concat
57	3.022607109551843	SRR5853123	illumina_universal_adapter	1	raw_concat
62	3.053623587312412	SRR5853123	illumina_universal_adapter	1	raw_concat
67	3.0792583980708157	SRR5853123	illumina_universal_adapter	1	raw_concat
72	3.109453247281436	SRR5853123	illumina_universal_adapter	1	raw_concat
77	3.1425648778443755	SRR5853123	illumina_universal_adapter	1	raw_concat
82	3.197860479255934	SRR5853123	illumina_universal_adapter	1	raw_concat
87	3.278051425730941	SRR5853123	illumina_universal_adapter	1	raw_concat
92	3.3952567383811454	SRR5853123	illumina_universal_adapter	1	raw_concat
97	3.5710441666427024	SRR5853123	illumina_universal_adapter	1	raw_concat
102	3.8280084956392066	SRR5853123	illumina_universal_adapter	1	raw_concat
107	4.2116679470378235	SRR5853123	illumina_universal_adapter	1	raw_concat
112	4.768280208200674	SRR5853123	illumina_universal_adapter	1	raw_concat
117	5.568258845858376	SRR5853123	illumina_universal_adapter	1	raw_concat
122	6.715580953006954	SRR5853123	illumina_universal_adapter	1	raw_concat
127	8.304651650035535	SRR5853123	illumina_universal_adapter	1	raw_concat
132	10.388137326995837	SRR5853123	illumina_universal_adapter	1	raw_concat
137	13.059498231444545	SRR5853123	illumina_universal_adapter	1	raw_concat
142	16.38750467301238	SRR5853123	illumina_universal_adapter	1	raw_concat
147	20.242996643647373	SRR5853123	illumina_universal_adapter	1	raw_concat
152	24.652060849810407	SRR5853123	illumina_universal_adapter	1	raw_concat
157	29.543708584785907	SRR5853123	illumina_universal_adapter	1	raw_concat
162	34.725226872183356	SRR5853123	illumina_universal_adapter	1	raw_concat
167	40.03886303041258	SRR5853123	illumina_universal_adapter	1	raw_concat
172	45.35820950706395	SRR5853123	illumina_universal_adapter	1	raw_concat
177	50.56043283392011	SRR5853123	illumina_universal_adapter	1	raw_concat
182	55.53584559956289	SRR5853123	illumina_universal_adapter	1	raw_concat
187	60.15093316462561	SRR5853123	illumina_universal_adapter	1	raw_concat
192	64.37882827552491	SRR5853123	illumina_universal_adapter	1	raw_concat
197	68.26804809813532	SRR5853123	illumina_universal_adapter	1	raw_concat
202	71.7989967915405	SRR5853123	illumina_universal_adapter	1	raw_concat
207	74.93400268672535	SRR5853123	illumina_universal_adapter	1	raw_concat
212	77.70880662561262	SRR5853123	illumina_universal_adapter	1	raw_concat
217	80.13376112793166	SRR5853123	illumina_universal_adapter	1	raw_concat
222	82.26613370361395	SRR5853123	illumina_universal_adapter	1	raw_concat
227	84.10904654114921	SRR5853123	illumina_universal_adapter	1	raw_concat
232	85.76450482501366	SRR5853123	illumina_universal_adapter	1	raw_concat
237	87.1949601304746	SRR5853123	illumina_universal_adapter	1	raw_concat
240	87.96807151454898	SRR5853123	illumina_universal_adapter	1	raw_concat
1	8.216285499488536e-4	SRR5853123	polya	1	raw_concat
2	0.001437849962410494	SRR5853123	polya	1	raw_concat
3	0.002054071374872134	SRR5853123	polya	1	raw_concat
4	0.0022594785123593473	SRR5853123	polya	1	raw_concat
5	0.0026702927873337745	SRR5853123	polya	1	raw_concat
6	0.002875699924820988	SRR5853123	polya	1	raw_concat
7	0.002875699924820988	SRR5853123	polya	1	raw_concat
8	0.003081107062308201	SRR5853123	polya	1	raw_concat
9	0.0032865141997954145	SRR5853123	polya	1	raw_concat
12	0.004477875597221252	SRR5853123	polya	1	raw_concat
17	0.006244376979611288	SRR5853123	polya	1	raw_concat
22	0.00920223975942716	SRR5853123	polya	1	raw_concat
27	0.010763334004329984	SRR5853123	polya	1	raw_concat
32	0.011790369691766051	SRR5853123	polya	1	raw_concat
37	0.0134747082191612	SRR5853123	polya	1	raw_concat
42	0.015159046746556349	SRR5853123	polya	1	raw_concat
47	0.017048792411438713	SRR5853123	polya	1	raw_concat
52	0.020088818046249467	SRR5853123	polya	1	raw_concat
57	0.02731914928579938	SRR5853123	polya	1	raw_concat
62	0.03582300477777002	SRR5853123	polya	1	raw_concat
67	0.2167045300490101	SRR5853123	polya	1	raw_concat
72	0.3320200970343318	SRR5853123	polya	1	raw_concat
77	0.34763103948335994	SRR5853123	polya	1	raw_concat
82	0.37223881455432817	SRR5853123	polya	1	raw_concat
