taxid	name	parent_taxid	rank
1513300	Tupavirus	2842407	genus
1513308	Velarivirus	69973	genus
1513458	Marseillevirus	944644	genus
1653394	Mammarenavirus	11617	genus
1653395	Reptarenavirus	11617	genus
1659770	Sakobuvirus	2946635	genus
1678141	Orthohepevirus	291484	genus
1678142	Piscihepevirus	2946641	genus
1748295	Rosadnavirus	186534	genus
1755587	Sicinivirus	2946635	genus
1755589	Kunsagivirus	2946640	genus
1805626	Pithovirus	2023203	genus
1857843	Kayvirus	2560081	genus
1857889	Silviavirus	2560081	genus
1868215	Orthopneumovirus	11244	genus
1883068	Sclerotimonavirus	1883067	genus
1884454	Socyvirus	1513294	genus
1884455	Anphevirus	2501985	genus
1884456	Arlivirus	2501987	genus
1884457	Chengtivirus	1955138	genus
1884458	Crustavirus	1513294	genus
1884459	Wastrivirus	1955138	genus
1885570	Chapparvovirus	207678	genus
1891713	Alphapolyomavirus	151341	genus
1891714	Betapolyomavirus	151341	genus
1891715	Deltapolyomavirus	151341	genus
1891716	Gammapolyomavirus	151341	genus
1910931	Agatevirus	2560070	genus
1911599	Alphacarmovirus	2560077	genus
1911600	Betacarmovirus	2560077	genus
1911601	Gammacarmovirus	2560077	genus
1911602	Pelarspovirus	2560077	genus
1911604	Alphapleolipovirus	1911603	genus
1911605	Betapleolipovirus	1911603	genus
1911606	Gammapleolipovirus	1911603	genus
1912143	Biquartavirus	2946170	genus
1913605	Dichorhavirus	2842408	genus
1914293	Divavirus	1914298	genus
1914295	Prunevirus	1914298	genus
1914296	Chordovirus	1914298	genus
1914299	Robigovirus	1914297	genus
1914566	Limnipivirus	2946640	genus
1914567	Potamipivirus	2946640	genus
1915204	Albetovirus	2559587	genus
1917979	Aumaivirus	2559587	genus
1918010	Bastillevirus	2560070	genus
1918013	Botybirnavirus	2732396	genus
1918718	Cbastvirus	2731619	genus
1918728	Dyochipapillomavirus	2169595	genus
1918730	Dyoomegapapillomavirus	2169595	genus
1920492	Dyophipapillomavirus	2169595	genus
1920494	Dyopsipapillomavirus	2169595	genus
1920771	Goravirus	675071	genus
1920864	Rtpvirus	2732045	genus
1920865	Tlsvirus	2732047	genus
1921117	Nonagvirus	2842528	genus
1921122	Nonanavirus	2731619	genus
1921184	Pagevirus	2731619	genus
1921407	Pakpunavirus	2731619	genus
1921431	Papanivirus	2559587	genus
1921433	Platypuvirus	675064	genus
1921434	Psavirus	2731619	genus
1921553	Seuratvirus	2842528	genus
1921556	Sinaivirus	2732891	genus
1921703	Sunshinevirus	1884452	genus
1921707	Toursvirus	43682	genus
1921709	Slashvirus	2731619	genus
1921772	Treisdeltapapillomavirus	2169595	genus
1921776	Treisepsilonpapillomavirus	2169595	genus
1921823	Treisetapapillomavirus	2169595	genus
1922207	Treiszetapapillomavirus	2169595	genus
1922209	Triatovirus	232795	genus
1922241	Macronovirus	1922240	genus
1922243	Sextaecvirus	2731619	genus
1922327	Wphvirus	2560070	genus
1925802	Virtovirus	2559587	genus
1932909	Dyotaupapillomavirus	2169595	genus
1932911	Dyoupsilonpapillomavirus	2169595	genus
1932924	Sputnikvirus	1914302	genus
1941236	Gemykibivirus	1910928	genus
1941238	Gemykolovirus	1910928	genus
1972611	Hapavirus	2842407	genus
1972682	Almendravirus	2842407	genus
1977139	Fibrovirus	10860	genus
1977141	Habenivirus	10860	genus
1977142	Lineavirus	10860	genus
1977143	Saetivirus	10860	genus
1977144	Vespertiliovirus	2732098	genus
1977632	Indivirus	1977630	genus
1977635	Catovirus	1977630	genus
1977636	Hokovirus	1977630	genus
1977639	Klosneuvirus	1977630	genus
1978532	Ledantevirus	2842407	genus
1980420	Goukovirus	1980418	genus
1980421	Phasivirus	1980418	genus
1980533	Herbevirus	1980416	genus
1980538	Orthophasmavirus	1980417	genus
1980936	Marthavirus	2731619	genus
1982076	Korravirus	2731619	genus
1982086	Laroyevirus	2731619	genus
1982088	Mudcatvirus	2731619	genus
1982091	Marvinvirus	2731619	genus
1982099	Amigovirus	2731619	genus
1982104	Decurrovirus	2731619	genus
1982106	Demosthenesvirus	2731619	genus
1982111	Eiauvirus	2731619	genus
1982113	Gaiavirus	2731619	genus
1982150	Gilesvirus	2731619	genus
1982152	Gordonvirus	2731619	genus
1982218	Gordtnkvirus	2731619	genus
1982220	Harrisonvirus	2842525	genus
1982222	Jenstvirus	2731619	genus
1982236	Kelleziovirus	2731619	genus
1982359	Patiencevirus	2731619	genus
1982557	Smoothievirus	2731619	genus
1982562	Soupsvirus	2731619	genus
1982566	Tankvirus	2731619	genus
1982573	Titanvirus	2731619	genus
1982748	Woesvirus	2731619	genus
1982879	Camvirus	1982875	genus
1982880	Likavirus	1982875	genus
1982897	Acadianvirus	1982876	genus
1982898	Coopervirus	1982876	genus
1982899	Pipefishvirus	1982876	genus
1982900	Rosebushvirus	1982876	genus
1983734	Fishburnevirus	1982878	genus
1983735	Phayoncevirus	1982878	genus
1983744	Bongovirus	1982877	genus
1984773	Abouovirus	2731619	genus
1984786	Elvirus	2731619	genus
1984788	Jimmervirus	2731619	genus
1985181	Tsarbombavirus	2560070	genus
1985292	Suspvirus	1985285	genus
1985303	Mooglevirus	1985285	genus
1985329	Moonvirus	1198136	genus
1985365	Gemyduguivirus	1910928	genus
1985366	Gemygorvirus	1910928	genus
1985367	Gemykrogvirus	1910928	genus
1985368	Gemykroznavirus	1910928	genus
1985369	Gemytondvirus	1910928	genus
1985370	Gemyvongvirus	1910928	genus
1985687	Curiovirus	2842407	genus
1985692	Sripuvirus	2842407	genus
1985709	Peropuvirus	2501986	genus
1985733	Pradovirus	2731643	genus
1986961	Ampivirus	12058	genus
1993858	Wildcatvirus	2946173	genus
2003390	Harkavirus	12058	genus
2003395	Betaendornavirus	564644	genus
2003399	Dipartevirus	76803	genus
2003400	Equartevirus	76803	genus
2003401	Nesartevirus	76803	genus
2003403	Simartevirus	2506610	genus
2005059	Cronusvirus	2731619	genus
2005509	Centapoxvirus	10241	genus
2022640	Invictavirus	2022639	genus
2022641	Nyfulvavirus	2022639	genus
2022739	Alphatristromavirus	2022738	genus
2022856	Blunervirus	2560061	genus
2025077	Rabovirus	2946630	genus
2025078	Torchivirus	2946627	genus
2034995	Grablovirus	10811	genus
2034997	Tilapinevirus	2501949	genus
2034998	Vegasvirus	2842525	genus
2049885	Vendettavirus	2946645	genus
2060084	Pandoravirus	51368	genus
2094720	Tupanvirus	985780	genus
2136036	Carbovirus	178830	genus
2169534	Limestonevirus	2169530	genus
2169569	Deltaflexivirus	2169568	genus
2169575	Bovismacovirus	2169574	genus
2169607	Hartmanivirus	11617	genus
2169608	Diatodnavirus	2169567	genus
2169609	Kieseladnavirus	2169567	genus
2169610	Protobacilladnavirus	2169567	genus
2169611	Brujitavirus	2169597	genus
2169612	Hawkeyevirus	2169598	genus
2169614	Treisiotapapillomavirus	2169595	genus
2169615	Treiskappapapillomavirus	2169595	genus
2169616	Treisthetapapillomavirus	2169595	genus
2169617	Ageyesisatellite	283494	genus
2169618	Clecrusatellite	283494	genus
2169619	Colecusatellite	283494	genus
2169620	Gosmusatellite	283494	genus
2169624	Machinavirus	2731619	genus
2169625	Svunavirus	2731619	genus
2169626	Babusatellite	2842420	genus
2169627	Clostunsatellite	1441744	genus
2169628	Fabenesatellite	1441744	genus
2169629	Milvetsatellite	1441744	genus
2169630	Mivedwarsatellite	1441744	genus
2169631	Sophoyesatellite	1441744	genus
2169632	Subclovsatellite	1441744	genus
2169635	Baxtervirus	2169601	genus
2169636	Nymphadoravirus	2169601	genus
2169637	Aalivirus	2946640	genus
2169638	Bopivirus	2946627	genus
2169639	Orivirus	2946640	genus
2169640	Shanbavirus	2946640	genus
2169642	Jwalphavirus	2842423	genus
2169644	Chipolycivirus	2169570	genus
2169645	Hupolycivirus	2169570	genus
2169646	Sopolycivirus	2169570	genus
2169647	Alphaportoglobovirus	2169572	genus
2169648	Bevemovirus	39729	genus
2169649	Roymovirus	39729	genus
2169650	Alefpapillomavirus	2169596	genus
2169651	Anatolevirus	2731619	genus
2169652	Attisvirus	2731619	genus
2169653	Doucettevirus	2731619	genus
2169657	Trigintaduovirus	2731619	genus
2169658	Wizardvirus	2731619	genus
2169659	Cosmacovirus	2169574	genus
2169660	Dragsmacovirus	2169574	genus
2169661	Drosmacovirus	2169574	genus
2169662	Huchismacovirus	2169574	genus
2169663	Porprismacovirus	2169574	genus
2169664	Bovispumavirus	327046	genus
2169665	Equispumavirus	327046	genus
2169666	Felispumavirus	327046	genus
2169667	Prosimiispumavirus	327046	genus
2169668	Simiispumavirus	327046	genus
2169669	Alphatectivirus	10656	genus
2169670	Betatectivirus	10656	genus
2499609	Muarterivirus	2499603	genus
2499610	Alphaarterivirus	2499604	genus
2499611	Lambdaarterivirus	2499605	genus
2499612	Deltaarterivirus	2499606	genus
2499613	Epsilonarterivirus	2499606	genus
2499614	Etaarterivirus	2499606	genus
2499615	Iotaarterivirus	2499606	genus
2499616	Thetaarterivirus	2499606	genus
2499617	Zetaarterivirus	2499606	genus
2499674	Betaarterivirus	2499607	genus
2499675	Gammaarterivirus	2499607	genus
2499676	Kappaarterivirus	2499608	genus
2501366	Loanvirus	2560074	genus
2501367	Mobatvirus	2560074	genus
2501368	Thottimvirus	2560074	genus
2501412	Culannivirus	222556	genus
2501970	Shaspivirus	1980415	genus
2501971	Striwavirus	1980415	genus
2501972	Berhavirus	1513294	genus
2501973	Orinovirus	1513294	genus
2501974	Tapwovirus	1513294	genus
2501975	Pidchovirus	1980418	genus
2501976	Horwuvirus	1980418	genus
2501977	Hudivirus	1980418	genus
2501978	Hudovirus	1980418	genus
2501979	Mobuvirus	1980418	genus
2501981	Beidivirus	1980418	genus
2501994	Shangavirus	1980416	genus
2501996	Inshuvirus	1980417	genus
2501998	Wuhivirus	1980417	genus
2507289	Turrinivirus	2507288	genus
2507291	Mivirus	2501952	genus
2507497	Yingvirus	2501968	genus
2508211	Oncotshavirus	2508210	genus
2508220	Bolenivirus	2507288	genus
2508224	Alphamononivirus	2508223	genus
2508230	Charybnivirus	2508227	genus
2508231	Paguronivirus	2508227	genus
2508241	Bostovirus	2508239	genus
2508243	Infratovirus	2508240	genus
2508244	Pregotovirus	2508240	genus
2508245	Sectovirus	2508240	genus
2508253	Yuyuevirus	2501959	genus
2508256	Lincruvirus	2501939	genus
2508258	Hubavirus	2501940	genus
2509283	Wubeivirus	1980418	genus
2509285	Wumivirus	2501941	genus
2560082	Actinovirus	2560067	genus
2560083	Agnathovirus	2560068	genus
2560084	Ahduovirus	2943001	genus
2560085	Ailurivirus	2946627	genus
2560086	Alcyoneusvirus	2731619	genus
2560087	Alphachrysovirus	249310	genus
2560088	Alphanemrhavirus	2842407	genus
2560089	Alphaovalivirus	2560062	genus
2560090	Anativirus	2946630	genus
2560091	Antennavirus	11617	genus
2560092	Aphroditevirus	2842518	genus
2560093	Aqualcavirus	2731643	genus
2560094	Asteriusvirus	2731619	genus
2560095	Avunavirus	1911928	genus
2560096	Bantamvirus	2731619	genus
2560097	Bavovirus	11974	genus
2560098	Beetrevirus	2731619	genus
2560099	Bendigovirus	2731619	genus
2560100	Betachrysovirus	249310	genus
2560101	Betterkatzvirus	2731619	genus
2560102	Bifseptvirus	2731643	genus
2560103	Bingvirus	2731619	genus
2560104	Bjornvirus	2731619	genus
2560105	Botoulivirus	2560063	genus
2560106	Bowservirus	2731619	genus
2560107	Britbratvirus	2731619	genus
2560108	Brunovirus	2731619	genus
2560109	Busanvirus	2731619	genus
2560110	Caligrhavirus	2842407	genus
2560111	Ceetrepovirus	2946647	genus
2560112	Cetovirus	2732012	genus
2560113	Chakrabartyvirus	2731619	genus
2560115	Chunghsingvirus	2946647	genus
2560116	Cimpunavirus	2731619	genus
2560117	Cinunavirus	2731619	genus
2560118	Coguvirus	1980418	genus
2560119	Cultervirus	178830	genus
2560120	Decapodiridovirus	2017757	genus
2560121	Delepquintavirus	2731619	genus
2560122	Dismasvirus	2731619	genus
2560123	Eclunavirus	2731691	genus
2560124	Efquatrovirus	2731619	genus
2560125	Eisenstarkvirus	2731619	genus
2560126	Elerivirus	2731619	genus
2560127	Emalynvirus	2731619	genus
2560128	Eneladusvirus	2731619	genus
2560129	Eyrevirus	2731619	genus
2560130	Farahnazvirus	2731619	genus
2560131	Ficleduovirus	2731619	genus
2560132	Fipvunavirus	2731619	genus
2560133	Flaumdravirus	2731619	genus
2560134	Galaxyvirus	2731619	genus
2560135	Galunavirus	2731619	genus
2560136	Gammatectivirus	10656	genus
2560137	Gamtrevirus	2731619	genus
2560138	Gesputvirus	2946645	genus
2560139	Getseptimavirus	2731619	genus
2560140	Ghobesvirus	2731619	genus
2560141	Gofduovirus	2731619	genus
2560142	Gorganvirus	2731619	genus
2560143	Gorjumvirus	2731619	genus
2560144	Gustavvirus	2731619	genus
2560145	Hanrivervirus	2732047	genus
2560146	Hedwigvirus	2731619	genus
2560147	Holosalinivirus	2731619	genus
2560148	Iapetusvirus	2731619	genus
2560149	Ikedavirus	2731619	genus
2560150	Ilzatvirus	2731619	genus
2560151	Iodovirus	2731619	genus
2560152	Ionavirus	2731619	genus
2560153	Jasminevirus	2731619	genus
2560154	Jedunavirus	2731619	genus
2560155	Jeilongvirus	2560076	genus
2560156	Jesfedecavirus	2732012	genus
2560157	Kabutovirus	1980418	genus
2560158	Kairosalinivirus	2731619	genus
2560159	Klementvirus	2731619	genus
2560160	Kochikohdavirus	2560071	genus
2560161	Kojivirus	2731619	genus
2560162	Krylovvirus	2731619	genus
2560163	Kryptosalinivirus	2731619	genus
2560164	Kusarnavirus	324901	genus
2560165	Lacusarxvirus	2731619	genus
2560166	Laulavirus	1980418	genus
2560167	Lilyvirus	2731619	genus
2560168	Livupivirus	2946635	genus
2560169	Locarnavirus	324901	genus
2560170	Lokivirus	2731619	genus
2560171	Magadivirus	2731619	genus
2560172	Magoulivirus	2560063	genus
2560173	Malagasivirus	2946627	genus
2560174	Metaavulavirus	2560069	genus
2560175	Metrivirus	2731619	genus
2560176	Mimasvirus	2731619	genus
2560177	Minovirus	11974	genus
2560178	Minunavirus	2731619	genus
2560179	Mutorquevirus	687329	genus
2560180	Myunavirus	2732014	genus
2560181	Myxoctovirus	2731619	genus
2560182	Nacovirus	11974	genus
2560183	Nanhaivirus	2731619	genus
2560184	Napahaivirus	2731643	genus
2560185	Narmovirus	2560076	genus
2560186	Nazgulvirus	2943001	genus
2560187	Negarvirus	2842327	genus
2560188	Nickievirus	2731619	genus
2560189	Novosibvirus	2731690	genus
2560190	Noxifervirus	2731619	genus
2560191	Nutorquevirus	687329	genus
2560192	Nyceiraevirus	2731619	genus
2560193	Orchidvirus	2731619	genus
2560194	Orthoavulavirus	2560069	genus
2560195	Orthorubulavirus	2560080	genus
2560197	Otagovirus	2731619	genus
2560198	Pacuvirus	1980416	genus
2560199	Paraavulavirus	2560069	genus
2560200	Pararubulavirus	2560080	genus
2560201	Peatvirus	2731619	genus
2560202	Phimunavirus	2731647	genus
2560203	Pikminvirus	2731619	genus
2560204	Plaisancevirus	2731619	genus
2560205	Poecivirus	2946635	genus
2560206	Pollyceevirus	2731643	genus
2560207	Polybotosvirus	2731619	genus
2560208	Popoffvirus	2731619	genus
2560209	Poushouvirus	2731619	genus
2560210	Priunavirus	2731690	genus
2560211	Rafivirus	2946635	genus
2560212	Reptillovirus	2560079	genus
2560213	Rigallicvirus	2731619	genus
2560214	Rimavirus	2731619	genus
2560215	Ripduovirus	2731619	genus
2560216	Risingsunvirus	2731619	genus
2560217	Salemvirus	2560076	genus
2560218	Salisharnavirus	324901	genus
2560219	Salovirus	11974	genus
2560220	Samistivirus	2946625	genus
2560221	Samunavirus	2731619	genus
2560222	Sanovirus	2943001	genus
2560223	Sasvirus	2731619	genus
2560224	Sawastrivirus	1980417	genus
2560225	Scapunavirus	2731619	genus
2560226	Scleroulivirus	2560063	genus
2560227	Sertoctavirus	1910999	genus
2560228	Shalavirus	2560070	genus
2560229	Shilevirus	2560064	genus
2560230	Sogarnavirus	324901	genus
2560231	Sourvirus	2731619	genus
2560232	Striavirus	11266	genus
2560233	Sugarlandvirus	2731690	genus
2560234	Synodonvirus	2560075	genus
2560235	Tabernariusvirus	2731619	genus
2560236	Thamnovirus	11266	genus
2560237	Thornevirus	2731619	genus
2560238	Tidunavirus	2842518	genus
2560239	Tijeunavirus	2731619	genus
2560240	Tortellinivirus	1982878	genus
2560241	Tottorivirus	2946627	genus
2560242	Trinavirus	2731619	genus
2560245	Unahavirus	2946157	genus
