taxid	name
1285599	Crocodylidpoxvirus
1298630	Becurtovirus
1298631	Turncurtovirus
1298632	Eragrovirus
1298634	Betaguttavirus
1298653	Perhabdovirus
1299297	Quadrivirus
1299306	Tibrovirus
1299307	Betafusellovirus
1299308	Quaranjavirus
1299309	Alphanecrovirus
1299310	Macanavirus
1299311	Betanecrovirus
1299312	Gallantivirus
1299313	Zeavirus
1299429	Yualikevirus
1307798	Negevirus
1307799	Pegivirus
1308858	Sigmavirus
1312873	Alphamesonivirus
1330065	Aquamavirus
1330067	Dicipivirus
1330069	Megrivirus
1431456	Hunnivirus
1481451	Mosavirus
1506574	Parvovirus
1506581	Crohivirus
1507401	Bocaparvovirus
1511083	Deltainfluenzavirus
1511771	Avisivirus
1511775	Gallivirus
1511778	Mischivirus
1511780	Oscivirus
1511782	Pasivirus
1511802	Orthoturdivirus
1511804	Rosavirus
1511808	Alphacryptovirus
1511809	Betacryptovirus
1511810	Alphacryptovirus
1511811	Gammapartitivirus
1511853	Alphanudivirus
1511854	Betanudivirus
1511856	Alphaspiravirus
1511859	Alphaturrivirus
1511861	Amalgavirus
1511864	Aveparvovirus
1511888	Copiparvovirus
1511911	Tetraparvovirus
1513201	Hepandensovirus
1513223	Penstyldensovirus
1513230	Aurivirus
1513234	Cafeteriavirus
1513236	Cuevavirus
1513238	Dyokappapapillomavirus
1513239	Dyolambdapapillomavirus
1513240	Dyomupapillomavirus
1513241	Dyonupapillomavirus
1513242	Dyoomikronpapillomavirus
1513243	Dyopipapillomavirus
1513244	Dyorhopapillomavirus
1513245	Dyosigmapapillomavirus
1513246	Dyoxipapillomavirus
1513277	Higrevirus
1513295	Nyavirus
1513299	Sprivivirus
1513300	Tupavirus
1513308	Velarivirus
1513458	Marseillevirus
1542744	Gemycircularvirus
1623273	3alikevirus
1623274	77likevirus
1623275	Andromedalikevirus
1623276	Barnyardlikevirus
1623277	Bignuzlikevirus
1623278	Bronlikevirus
1623280	Charlielikevirus
1623281	Che8likevirus
1623282	Che9clikevirus
1623283	Chilikevirus
1623284	Cjw1virus
1623285	Corndoglikevirus
