task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	env	workdir	scratch	error_action
392	5e/9703af	c6996953-e7af-40a0-bd19-ebcdcf311b70	RUN:PROFILE:BBDUK	-	RUN:PROFILE:BBDUK (16)	COMPLETED	0	-	wave.seqera.io/wt/8cd9c1606c9d/staphb/bbtools:39.01	16	-	-	32 GB	1	2024-10-17 16:37:46.548	2024-10-17 16:38:06.208	2024-10-17 16:38:56.223	1m 10s	38.8s	will-batch-queue	788.7%	2.6%	6.2 GB	35.9 GB	6.2 GB	35.9 GB	1 GB	785.2 MB	63356	25149	0	120 KB	21	0	-	s3://nao-mgs-wb/CC-PRJNA661613-3/work/5e/9703af689d64dd7b9c4bd9c1663f9c	-	-
410	9a/16308e	c0bedbc5-24cf-487b-b9df-1ba3db4cd368	RUN:HV:BOWTIE2_HUMAN	-	RUN:HV:BOWTIE2_HUMAN (11)	COMPLETED	0	-	wave.seqera.io/wt/ee9a73f166e2/staphb/bowtie2:2.5.3	16	-	-	32 GB	1	2024-10-17 16:38:06.550	2024-10-17 16:38:46.294	2024-10-17 16:38:56.235	49.7s	6.8s	will-batch-queue	120.1%	1.2%	2.9 GB	3.5 GB	2.9 GB	3.5 GB	3.4 GB	17.1 MB	1864	1530	0	0	8890	6	-	s3://nao-mgs-wb/CC-PRJNA661613-3/work/9a/16308e197963f4e61bb69323b2fd1f	-	-
414	d2/db097a	dc119ff5-5c41-4403-8f80-a00ccaeff3cb	RUN:HV:BOWTIE2_HV	-	RUN:HV:BOWTIE2_HV (12)	COMPLETED	0	-	wave.seqera.io/wt/ee9a73f166e2/staphb/bowtie2:2.5.3	16	-	-	32 GB	1	2024-10-17 16:38:16.597	2024-10-17 16:38:46.310	2024-10-17 16:38:56.247	39.7s	7.1s	will-batch-queue	711.1%	0.9%	2.1 GB	3.9 GB	2.1 GB	3.9 GB	2 GB	132 MB	70469	8202	0	0	10890	38	-	s3://nao-mgs-wb/CC-PRJNA661613-3/work/d2/db097a54680cb42a32a50611c3f303	-	-
338	ca/97fac8	99f6264b-a519-4c57-a1a8-f19fd05dc6cc	RUN:HV:TRIMMOMATIC	-	RUN:HV:TRIMMOMATIC (12)	COMPLETED	0	-	wave.seqera.io/wt/63a9687e0ce7/staphb/trimmomatic:0.39	16	-	-	32 GB	1	2024-10-17 16:36:36.576	2024-10-17 16:37:06.259	2024-10-17 16:38:56.210	2m 20s	1m 48s	will-batch-queue	48.2%	0.8%	1.8 GB	37 GB	1.8 GB	42 GB	17.9 MB	33.2 MB	36079	4282661	0	220 KB	10	0	-	s3://nao-mgs-wb/CC-PRJNA661613-3/work/ca/97fac8a24132443bb31c61f3660cc2	-	-
417	50/b92a15	9f9194a7-6351-4ce1-9f2a-99f3e09e1e6a	RUN:PROFILE:TAXONOMY_NORIBO:BBMERGE	-	RUN:PROFILE:TAXONOMY_NORIBO:BBMERGE (13)	COMPLETED	0	-	wave.seqera.io/wt/8cd9c1606c9d/staphb/bbtools:39.01	1	-	-	4 GB	1	2024-10-17 16:38:26.516	2024-10-17 16:38:46.347	2024-10-17 16:38:56.272	29.8s	5.4s	will-batch-queue	702.2%	0.1%	376.8 MB	11.8 GB	376.8 MB	12 GB	681.7 MB	663 MB	42951	21114	0	184 KB	6487	18696	-	s3://nao-mgs-wb/CC-PRJNA661613-3/work/50/b92a15d0fea169e895be8a373ff442	-	-
419	76/e5246d	12453c98-225d-478d-b0f4-48c1507d51b7	RUN:PROFILE:TAXONOMY_NORIBO:BBMERGE	-	RUN:PROFILE:TAXONOMY_NORIBO:BBMERGE (14)	COMPLETED	0	-	wave.seqera.io/wt/8cd9c1606c9d/staphb/bbtools:39.01	1	-	-	4 GB	1	2024-10-17 16:38:26.515	2024-10-17 16:38:46.347	2024-10-17 16:38:56.259	29.7s	5.4s	will-batch-queue	710.8%	0.1%	386.1 MB	11.8 GB	386.1 MB	12 GB	676.7 MB	658 MB	42743	20953	0	164 KB	6979	19131	-	s3://nao-mgs-wb/CC-PRJNA661613-3/work/76/e5246d494a8aaddcac71a4acd7f8b1	-	-
425	d4/71cb92	560a6f78-84a9-4e89-afb9-72cc879b0839	RUN:PROFILE:TAXONOMY_NORIBO:BBMERGE	-	RUN:PROFILE:TAXONOMY_NORIBO:BBMERGE (15)	COMPLETED	0	-	wave.seqera.io/wt/8cd9c1606c9d/staphb/bbtools:39.01	1	-	-	4 GB	1	2024-10-17 16:38:36.582	2024-10-17 16:38:46.416	2024-10-17 16:38:56.297	19.7s	2.3s	will-batch-queue	1871.6%	0.1%	358.3 MB	11.8 GB	358.3 MB	12 GB	753.7 MB	740.6 MB	47666	23568	0	116 KB	1990	2373	-	s3://nao-mgs-wb/CC-PRJNA661613-3/work/d4/71cb92781115be08b134270be61656	-	-
420	6a/a48855	e529befe-da2a-40ad-9a5c-6eba674bfe30	RUN:HV:BOWTIE2_HV	-	RUN:HV:BOWTIE2_HV (13)	COMPLETED	0	-	wave.seqera.io/wt/ee9a73f166e2/staphb/bowtie2:2.5.3	16	-	-	32 GB	1	2024-10-17 16:38:26.557	2024-10-17 16:38:36.294	2024-10-17 16:38:56.284	29.7s	8.2s	will-batch-queue	682.0%	0.9%	2.2 GB	3.9 GB	2.2 GB	3.9 GB	2 GB	149.5 MB	72370	8554	0	0	10803	31	-	s3://nao-mgs-wb/CC-PRJNA661613-3/work/6a/a48855324de98c5e29c4be680297fc	-	-
407	b5/666907	c7574096-9392-4aec-a284-955590cac16b	RUN:PROFILE:BBDUK	-	RUN:PROFILE:BBDUK (18)	COMPLETED	0	-	wave.seqera.io/wt/8cd9c1606c9d/staphb/bbtools:39.01	16	-	-	32 GB	1	2024-10-17 16:37:56.465	2024-10-17 16:38:06.249	2024-10-17 16:39:06.181	1m 10s	39.6s	will-batch-queue	782.5%	2.0%	9.5 GB	37.4 GB	9.5 GB	37.4 GB	1 GB	781.2 MB	58452	25002	0	136 KB	20	0	-	s3://nao-mgs-wb/CC-PRJNA661613-3/work/b5/66690734b04353dc2913a376e4bcbe	-	-
409	1d/100716	d8735fbf-ce06-4910-8e3e-7c6c7354c8f3	RUN:HV:BOWTIE2_OTHER	-	RUN:HV:BOWTIE2_OTHER (5)	COMPLETED	0	-	wave.seqera.io/wt/ee9a73f166e2/staphb/bowtie2:2.5.3	16	-	-	32 GB	1	2024-10-17 16:37:56.577	2024-10-17 16:38:36.293	2024-10-17 16:39:06.193	1m 10s	23.4s	will-batch-queue	146.1%	5.4%	12.9 GB	14.7 GB	12.9 GB	14.7 GB	12.7 GB	28 MB	12131	2047	0	0	21663	4117	-	s3://nao-mgs-wb/CC-PRJNA661613-3/work/1d/1007166abac97dbf993ae00731ce4d	-	-
